,Location,Year,Longitude,Latitude,Count
83,11 Street at 64 Avenue NE,2018.0,-114.036988631502,51.1105834522785,1
84,11 Street between 9 Avenue and 10 Avenue SW,2018.0,-114.08876310298099,51.0447127380056,1
85,11 Street btw 9 Avenue and 10 Avenue SW,2018.0,-114.088761055272,51.0448351797544,1
86,110 Avenue and 40 Street SE,2018.0,-113.97714389028799,50.9560649381594,1
87,112 Avenue and 76 Street NW,2018.0,-114.19657846777599,51.1541687679441,1
88,112 Avenue and 85 Street NW,2018.0,-114.209268466723,51.152187745331794,1
89,112 Avenue and Royal Vista Li NW,2018.0,-114.20524977442699,51.1539905338982,1
90,112 Avenue at 85 Street NW,2018.0,-114.209652922605,51.1519568337682,1
91,112 Avenue at 96 Street NW,2018.0,-114.098022458361,51.032583926442896,1
92,114 Avenue and 24 Street SE,2018.0,-114.00103301052401,50.953589291414296,1
93,114 Avenue and 40 Street SE,2018.0,-113.978261574644,50.9504187010958,1
94,114 Avenue and 42 Street SE,2018.0,-113.975045409507,50.950558300326904,1
95,114 Avenue and 52 Street SE,2018.0,-113.958525190971,50.95054076455909,5
96,114 Avenue and Stoney Trail SE,2018.0,-113.9248612787145,50.9484890348281,2
97,114 Avenue at 35 Street SE,2018.0,-113.98590937774999,50.9496542959869,2
98,114 Avenue at 40 Street SE,2018.0,-113.978274100767,50.95010873238629,2
99,114 Avenue at 42 Street SE,2018.0,-113.97530281939152,50.95050589871515,2
100,114 Avenue at 52 Street SE,2018.0,-113.95807720003401,50.9504804445246,1
101,114 Avenue at 56 Street SE,2018.0,-113.95192503624735,50.9507180440844,3
102,114 Avenue at 68 Street SE,2018.0,-113.93524275243901,50.950073023079796,1
103,12 Avenue and 1 Street NW,2018.0,-114.065010472271,51.0633598273032,1
104,12 Avenue and 1 Street SE,2018.0,-114.060865354694,51.0413575562084,2
105,12 Avenue and 1 Street SW,2018.0,-114.065782257064,51.04149513215421,1
106,12 Avenue and 11 Street SW,2018.0,-114.088917198818,51.04214784882179,1
107,12 Avenue and 14 Street SW,2018.0,-114.094742540065,51.0423147061977,2
108,12 Avenue and 15 Street SW,2018.0,-114.096848272917,51.042371143899004,4
109,12 Avenue and 2 Street SW,2018.0,-114.068262969951,51.0415677850442,1
110,12 Avenue and 33 Street NE,2018.0,-113.986016052065,51.062653127413995,1
111,12 Avenue and 4 Street SW,2018.0,-114.07148080217699,51.041659084933606,3
112,12 Avenue and 68 Street NE,2018.0,-113.935564817343,51.062795322610505,1
113,12 Avenue and 8 Street SW,2018.0,-114.081523679407,51.0419401829678,1
114,12 Avenue and Centre Street N,2018.0,-114.062522832181,51.063347609855796,1
115,12 Avenue and Centre Street NE,2018.0,-114.06329770755501,51.04142665386679,1
116,12 Avenue and Edmonton Trail NE,2018.0,-114.05605713158,51.063306659934206,1
117,12 Avenue and Radisson Drive SE,2018.0,-113.987063253107,51.042447231905896,1
118,12 Avenue approaching 6 Street SW,2018.0,-114.076597270858,51.0418021967045,1
119,12 Avenue at 36 Street NE,2018.0,-113.983017025918,51.062652730175294,1
120,12 Avenue at 5 Street SW,2018.0,-114.074146627015,51.0417337470191,1
121,12 Avenue at Macleod Trail SE,2018.0,-114.05840448764401,51.0412866242345,1
122,12 Mile Coule Road at 80 Avenue NW,2018.0,-114.257350191765,51.1251210461402,1
123,12 Street and 11 Street SW,2018.0,-114.036751571042,51.037625466612795,1
124,12 Street and 14 Avenue SW,2018.0,-114.09151146851801,51.0403268622089,1
125,12 Street and 20 Avenue NW,2018.0,-114.089797717451,51.0705275336568,1
126,12 Street and 30 Avenue NE,2018.0,-114.02621339807501,51.079236917843396,1
127,12 Street and 32 Avenue NE,2018.0,-114.03011422022699,51.081537515530904,1
128,12 Street and 44 Avenue NE,2018.0,-114.033329046995,51.091767515317,1
129,12 Street and 9 Avenue SE,2018.0,-114.03434771360901,51.0412544574978,1
130,12 Street and Colborne Cr SW,2018.0,-114.091552284423,51.034194114745,1
131,12 Street and Mcdougall Road NE,2018.0,-114.033683645325,51.050888855899295,2
132,12 Street and Street Georges Drive NE,2018.0,-114.031616916882,51.0488719590477,1
133,12 Street and Zoo Road NE,2018.0,-114.032252993244,51.044347883211,1
134,12 Street at 32 Avenue NE,2018.0,-114.02963123573099,51.0819498155874,1
135,12 Street at Memorial Drive NE,2018.0,-114.03213216528249,51.0482041512436,2
136,126 Avenue and 48 Street SE,2018.0,-113.965171847563,50.9349041030944,1
137,128 Avenue and 37 Street NW,2018.0,-114.141307782449,51.168153372023895,1
138,128 Avenue and Nolan Hill Drive NW,2018.0,-114.160978866153,51.1680652105568,2
139,128 Avenue and Redstone Street NE,2018.0,-113.962093919485,51.165432777572406,1
140,128 Avenue and Skyview Ranch Road NE,2018.0,-113.962093919485,51.165432777572406,2
141,128 Avenue east of Metis Trail NE,2018.0,-113.946100626819,51.114539778639,1
142,13 Avenue and 4 Street SW,2018.0,-114.07148120299401,51.040714892298006,1
143,13 Avenue and 5 Street SW,2018.0,-114.074212997849,51.0407914902472,1
144,13 Avenue and University Drive NW,2018.0,-114.12010199547501,51.0642431354364,2
145,13 Avenue at Macleod Trail SE,2018.0,-114.058803871936,51.04036470592521,1
146,13 Avenue at University Drive NW,2018.0,-114.12010199547501,51.0642431354364,2
147,13 Street and 11 Avenue SW,2018.0,-114.09375921165399,51.0432497127959,1
148,13 Street and Kensinton Road NW,2018.0,-114.093284277989,51.0525160778979,1
149,130 Avenue and 46 Street SE,2018.0,-113.968794969081,50.9320349202896,1
150,130 Avenue and 50 Street SE,2018.0,-113.96254645857701,50.931990471283996,2
151,130 Avenue and 52 Street SE,2018.0,-113.95880038234101,50.931567762864,1
152,130 Avenue and Woodpath Road SW,2018.0,-114.135876630363,50.9358186905746,1
153,130 Avenue at 37 Street SW,2018.0,-114.139899212935,50.9357565854405,1
154,130 Avenue at 48 Street SE,2018.0,-113.96573972277399,50.93209088014321,1
155,130 Avenue at Deerfoot Trail SE,2018.0,-113.97888971727899,50.93198252277799,2
156,130 Avenue at Mcvor Boulevard SE,2018.0,-113.93530355019101,50.9284177422941,1
157,14 Avenue and 14 Street NW,2018.0,-114.09578502124799,51.064342002231434,3
158,14 Avenue and 14 Street SW,2018.0,-114.094710004209,51.040414930642,2
159,14 Avenue and 19 Street NW,2018.0,-114.10634722333599,51.0651630699421,1
160,14 Avenue and 28 Street NE,2018.0,-113.99327145183999,51.0651019361395,1
161,14 Avenue and 36 Street SE,2018.0,-113.981650336889,51.04098082057261,1
162,14 Avenue and 5 Street SW,2018.0,-114.074134450477,51.040805294399604,1
163,14 Avenue and 85 Street SW,2018.0,-114.211400594038,51.045225447163,1
164,14 Avenue and 9 Street NW,2018.0,-114.082742248972,51.065432434612504,1
165,14 Avenue and Edmonton Trail NE,2018.0,-114.056232349118,51.06509525714971,1
166,14 Avenue at 16 Street SW,2018.0,-114.099449085699,51.0405487170978,1
167,14 Avenue at 52 Street SE,2018.0,-113.958499966397,51.0409463956909,1
168,14 Avenue at Centre Street NW,2018.0,-114.063455964127,51.039529283261395,1
169,14 Str at 75 Avenue SW,2018.0,-114.096251526404,50.988136646003,1
170,14 Street  and 11 Avenue SW,2018.0,-114.094755744287,51.0432651805564,1
171,14 Street Approaching 75 Avenue SW,2018.0,-114.096251526404,50.988136646003,1
172,14 Street and 10 Avenue SW,2018.0,-114.09476137911699,51.044209817566994,1
173,14 Street and 115 Avenue NE,2018.0,-114.027112157329,51.1577462935657,1
174,14 Street and 12 Avenue SW,2018.0,-114.094742540065,51.0423147061977,2
175,14 Street and 14 Avenue SW,2018.0,-114.094710004209,51.040414930642,2
176,14 Street and 15 Avenue SW,2018.0,-114.094710917661,51.0394641746807,1
177,14 Street and 17 Avenue SW,2018.0,-114.094709998213,51.037824176242296,1
178,14 Street and 19 Avenue SW,2018.0,-114.09470670629999,51.0365590517776,1
179,14 Street and 2 Avenue NW,2018.0,-114.094703498137,51.0545683689271,4
180,14 Street and 20 Avenue NW,2018.0,-114.09473549720501,51.0705290302633,4
181,14 Street and 21 Avenue SW,2018.0,-114.094693227285,51.0349825303368,1
182,14 Street and 22 Avenue NW,2018.0,-114.094729155756,51.0723152876661,1
183,14 Street and 22 Avenue SW,2018.0,-114.094689214135,51.034272612933904,1
184,14 Street and 23 Avenue SW,2018.0,-114.09468866960201,51.0332358252102,3
185,14 Street and 27 Avenue SW,2018.0,-114.094683527243,51.0295227004546,1
186,14 Street and 34 Avenue SW,2018.0,-114.094690742738,51.0231985754204,1
187,14 Street and 64 Avenue NW,2018.0,-114.08355319758034,51.10904008438624,3
188,14 Street and 7 Avenue NW,2018.0,-114.094726731166,51.0588946514304,1
189,14 Street and 75 Avenue SW,2018.0,-114.094974996191,50.988671865985296,1
190,14 Street and 8 Avenue NW,2018.0,-114.094725297283,51.0596600367667,1
191,14 Street and 9 Avenue SW,2018.0,-114.09507612706001,51.0456125899513,1
192,14 Street and 90 Avenue SW,2018.0,-114.0951753486205,50.97356572507265,2
193,14 Street and Bagot Avenue SW,2018.0,-114.09469544306101,51.035859838244,1
194,14 Street and Berkley Gate NW,2018.0,-114.09878336145,51.1257454340955,2
195,14 Street and Canyon Meadows Drive SW,2018.0,-114.094576491121,50.94051638835361,1
196,14 Street and Cornell Road NW,2018.0,-114.09482673784201,51.08389562959211,1
197,14 Street and Country Hills Boulevard NW,2018.0,-114.111893718729,51.1441000918388,1
198,14 Street and Cromwell Avenue NW,2018.0,-114.094742178649,51.086099696359994,1
199,14 Street and Hidden Valley Ht NW,2018.0,-114.10641313458599,51.146133435553104,1
200,14 Street and John Laurie Boulevard NW,2018.0,-114.094643717322,51.089748772575206,1
201,14 Street and Kensington Road NW,2018.0,-114.094696175452,51.0525165607157,2
202,14 Street and Memorial Drive NW,2018.0,-114.094777207444,51.0495205789906,1
203,14 Street and Quebec Avenue SW,2018.0,-114.094683527243,51.0295227004546,1
204,14 Street and Southland Drive SW,2018.0,-114.096705849657,50.961517163405105,1
205,14 Street and Symons Valley Py NW,2018.0,-114.0949365465645,51.18150897259135,2
206,14 Street approaching John Laurie Blvd NW,2018.0,-114.098969655366,51.0907799911786,1
207,14 Street approaching Southland Drive SW,2018.0,-114.095392141578,50.9627944446667,1
208,14 Street at 14 Avenue NW,2018.0,-114.09596048443899,51.0644031683793,1
209,14 Street at 17 Avenue SW,2018.0,-114.094709998213,51.037824176242296,2
210,14 Street at 19 Avenue SW,2018.0,-114.09470670629999,51.0365590517776,1
211,14 Street at 22 Avenue NW,2018.0,-114.094729155756,51.0723152876661,1
212,14 Street at 24 Avenue NW,2018.0,-114.09473330345101,51.074276924873296,1
213,14 Street at 7 Avenue NW,2018.0,-114.09472786991199,51.058823541871796,1
214,14 Street at 90 Avenue SW,2018.0,-114.09630735631599,50.97230190378429,1
215,14 Street at Glenmore Trail SW,2018.0,-114.097080664041,50.9943674324187,1
216,14 Street at Heritage Drive SW,2018.0,-114.095669012174,50.9796309475335,1
217,14 Street at Kensington Road NW,2018.0,-114.094696175452,51.0525165607157,1
218,14 Street at Macewan Drive NW,2018.0,-114.108894205605,51.140304373302605,1
219,14 Street at Northmount Drive NW,2018.0,-114.094826583969,51.0829826382468,1
220,144 Avenue and Centre Street N,2018.0,-114.07130441301202,51.1833693779226,1
221,144 Avenue and Centre Street NE,2018.0,-114.07130441301202,51.1833693779226,1
222,144 Avenue and Metis Trail NE,2018.0,-113.97082895866899,51.1834450914816,1
223,144 Avenue and Shaganappi Trail NW,2018.0,-114.161349740102,51.183114040274546,2
224,144 Avenue at Sarcee Trail NW,2018.0,-114.176152281268,51.1831108059285,1
225,144 Avenue at Shaganappi Trail NW,2018.0,-114.161861185721,51.1831229987223,1
226,146 Avenue and 37 Street SW,2018.0,-114.14032088411001,50.921327260573996,1
227,146 Avenue and Bow Bottom Trail SE,2018.0,-114.019305921873,50.9184296344569,1
228,146 Avenue and Everridge Drive SW,2018.0,-114.12322902044599,50.921401656876604,1
229,15 Avenue and 4 Street SW,2018.0,-114.071481701343,51.0388147301879,1
230,15 Avenue and 6 Street SW,2018.0,-114.07680504782,51.038963819177894,1
231,15 Avenue at Macleod Trail SE,2018.0,-114.058614515959,51.038449356659896,1
232,15 Street and 17 Avenue SW,2018.0,-114.0975957911,51.037830342324,1
233,15 Street and 19 Avenue SE,2018.0,-114.025149741631,51.036013171682995,1
234,15 Street at 42 Avenue SE,2018.0,-114.02505423157301,51.0154205227189,1
235,16 Avenue and 12 Street NW,2018.0,-114.089835485221,51.0668196136688,1
236,16 Avenue and 14 Street SW,2018.0,-114.094709827919,51.038510004083996,1
237,16 Avenue and 19 Street NE,2018.0,-114.01402450449,51.067037310318604,1
238,16 Avenue and 19 Street NW,2018.0,-114.106350217007,51.0669053616215,1
239,16 Avenue and 2 Street NW,2018.0,-114.067449745282,51.0670006233309,1
240,16 Avenue and 36 Street NE,2018.0,-113.986771126357,51.067342402223666,3
241,16 Avenue and 36 Street SE,2018.0,-113.981650963132,51.0393953900949,2
242,16 Avenue and 38 Street SE,2018.0,-113.978680673384,51.0393949759196,1
243,16 Avenue and 4 Street NE,2018.0,-114.053251024921,51.066983591488,1
244,16 Avenue and 44 Street NW,2018.0,-114.159550459188,51.06908383212689,1
245,16 Avenue and 44 Street SE,2018.0,-113.970012207609,51.0393930732211,1
246,16 Avenue and 5 Street NE,2018.0,-114.050790887929,51.066985315546596,1
247,16 Avenue and 5 Street NW,2018.0,-114.073990227416,51.0669932504722,1
248,16 Avenue and 52 Street NE,2018.0,-113.963310837195,51.0671044015668,1
249,16 Avenue and 68 Street NE,2018.0,-113.9361381176008,51.06700674857472,5
250,16 Avenue and 70 Street SE,2018.0,-113.93029966396001,51.0387117947853,1
251,16 Avenue and 8 Street SW,2018.0,-114.081790645403,51.0381468646241,1
252,16 Avenue and Banff Trail NW,2018.0,-114.112612999167,51.06720573031875,2
253,16 Avenue and Centre Street N,2018.0,-114.06251036661301,51.0663795736612,1
254,16 Avenue and Deerfoot Trail NE,2018.0,-114.0279468883642,51.0671746685431,5
255,16 Avenue and Edmonton Trail NE,2018.0,-114.05616755207,51.0668426165042,1
256,16 Avenue and Home Road NW,2018.0,-114.16475380172,51.073074873607595,3
257,16 Avenue and Sarcee Trail NW,2018.0,-114.189171490387,51.0815034155091,2
258,16 Avenue and Shaganappi Trail NW,2018.0,-114.14864000459801,51.0660385682157,1
259,16 Avenue and Stoney Trail NE,2018.0,-113.929731671065,51.0670302472081,1
260,16 Avenue approaching 19 Street NE,2018.0,-114.01402450449,51.067037310318604,1
261,16 Avenue at #10 Firehall Station NW,2018.0,-114.104127605424,51.0670195540191,1
262,16 Avenue at 10 Street NW,2018.0,-114.084849033186,51.0669030779988,1
263,16 Avenue at 17 Street NW,2018.0,-114.102092761542,51.0670122692451,1
264,16 Avenue at 19 Street NE,2018.0,-114.01352768869499,51.0669613160157,1
265,16 Avenue at 4 Street NW,2018.0,-114.071597618032,51.06683751051229,1
266,16 Avenue at 52 Street NE,2018.0,-113.963310837195,51.0671044015668,1
267,16 Avenue at 8 Street NW,2018.0,-114.081373205441,51.0669880746447,1
268,16 Avenue at Banff Trail NW,2018.0,-114.11366124718,51.066948734133206,1
269,16 Avenue at Deerfoot Trail NE,2018.0,-114.02829267585349,51.0669979596309,2
270,16 Avenue at Edmonton Trail NE,2018.0,-114.05616755207,51.0668426165042,1
271,16 Avenue at Sarcee Trail NW,2018.0,-114.189171490387,51.0815034155091,1
272,16 Avenue at University Drive NW,2018.0,-114.122574652881,51.0677414294308,1
273,16 Avenue at Valley Ridge Drive NW,2018.0,-114.25927370567499,51.08872136522,1
274,16 Avenue between 4 Street and 8 Street NW,2018.0,-114.07150806635799,51.0669610838072,1
275,16 Street and 14 Avenue SE,2018.0,-114.023639747603,51.0397847742757,1
276,16 Street and 6 Avenue NW,2018.0,-114.097788579005,51.0576137926158,1
277,162 Avenue and 24 Street SW,2018.0,-114.117054518106,50.90663924766055,2
278,162 Avenue and 6 Street SW,2018.0,-114.07641745229552,50.90264892396185,4
279,162 Avenue and Bridleridge Way SW,2018.0,-114.11052688115299,50.9066522619841,1
280,162 Avenue and Eversyde Boulevard SW,2018.0,-114.110519920111,50.9066547857595,1
281,162 Avenue and James McKevitt Road SW,2018.0,-114.09906345195401,50.9053202613696,1
282,162 Avenue and James Mckevitt Road SW,2018.0,-114.0991033754274,50.90527966459878,5
283,162 Avenue and Shawville Boulevard SE,2018.0,-114.065697714001,50.904050059484995,1
284,162 Avenue and Shawville Way SE,2018.0,-114.06958580423101,50.9034784282859,2
285,162 Avenue and Shawville Wy SE,2018.0,-114.06964297346902,50.9033932144085,1
286,162 Avenue and Somercrest Street SW,2018.0,-114.08965328234251,50.90384614228465,2
287,162 Avenue at Shawville Way SE,2018.0,-114.06960790600526,50.903378739005205,4
288,162 Avenue between Shawinigan Drive and Shawville Way SE,2018.0,-114.07068086622,50.903219893703394,1
289,16a Street and 24 Avenue NW,2018.0,-114.100605130166,51.0742694122171,1
290,17 Avenue and 1 Street SE,2018.0,-114.061121382101,51.0378326346352,2
291,17 Avenue and 1 Street SW,2018.0,-114.066063808402,51.037831743328105,1
292,17 Avenue and 10 Street SW,2018.0,-114.087039326919,51.037813149954395,1
293,17 Avenue and 100 Street SE,2018.0,-113.88866026734802,51.03783792454751,3
294,17 Avenue and 101 Street SW,2018.0,-114.234182107016,51.03784827060579,2
295,17 Avenue and 12 Street SW,2018.0,-114.091688900952,51.0378220905184,1
296,17 Avenue and 13 Street SW,2018.0,-114.093077824306,51.037823060273,2
297,17 Avenue and 14 Street SW,2018.0,-114.094709998213,51.037824176242296,5
298,17 Avenue and 15 Street SW,2018.0,-114.0975957911,51.037830342324,2
299,17 Avenue and 16 Street SW,2018.0,-114.098835283482,51.0378302895751,1
300,17 Avenue and 17 Street SW,2018.0,-114.10159786906999,51.03782971865579,1
301,17 Avenue and 19 Street SE,2018.0,-114.017907478327,51.037655673673,1
302,17 Avenue and 19 Street SW,2018.0,-114.10630802218,51.037827956432295,1
303,17 Avenue and 2 Street SW,2018.0,-114.06853366684601,51.037831220090396,2
304,17 Avenue and 24 Street SW,2018.0,-114.11790685179301,51.037810987215394,1
305,17 Avenue and 24A Street SW,2018.0,-114.119366493359,51.0378102247265,1
306,17 Avenue and 25a Street SW,2018.0,-114.1222104913,51.0378086339098,1
307,17 Avenue and 26 Street SW,2018.0,-114.123648174586,51.0378078409054,3
308,17 Avenue and 27 Street SE,2018.0,-113.99553109662399,51.0378484416846,1
309,17 Avenue and 27 Street SW,2018.0,-114.126649443169,51.0378060654745,1
310,17 Avenue and 29 Street SW,2018.0,-114.129546341432,51.0378050478859,1
311,17 Avenue and 31 Street SE,2018.0,-113.989402094077,51.0377625541583,1
312,17 Avenue and 33 Street SE,2018.0,-113.986633378739,51.037770361068795,1
313,17 Avenue and 33 Street SW,2018.0,-114.13547175820801,51.03780794875421,1
314,17 Avenue and 35 Street SW,2018.0,-114.138318463772,51.037805962824706,1
315,17 Avenue and 36 Street SE,2018.0,-113.98169195426901,51.037775984283,2
316,17 Avenue and 37 Street SW,2018.0,-114.14121119016,51.037792794569796,2
317,17 Avenue and 38 Street SE,2018.0,-113.97868138282699,51.03784901000999,1
318,17 Avenue and 4 Street SW,2018.0,-114.071482040624,51.037830532762,4
319,17 Avenue and 40 Street SE,2018.0,-113.975737146016,51.0378417834616,1
320,17 Avenue and 44 Street SE,2018.0,-113.970014022474,51.037685921514104,2
321,17 Avenue and 45 Street SE,2018.0,-113.9685941383645,51.0378301935738,2
322,17 Avenue and 45 Street SW,2018.0,-114.15281664930201,51.037802828023395,3
323,17 Avenue and 48 Street SE,2018.0,-113.964350735834,51.037828976262894,1
324,17 Avenue and 50 Street SE,2018.0,-113.961370565784,51.037828029239705,1
325,17 Avenue and 52 Street SE,2018.0,-113.958502157114,51.0378555434499,2
326,17 Avenue and 5A Street SW,2018.0,-114.07556780141898,51.03782104030379,1
327,17 Avenue and 68 Street SE,2018.0,-113.93543323715433,51.03786808937403,3
328,17 Avenue and 69 Street SW,2018.0,-114.187666137752,51.037937074039,1
329,17 Avenue and 8 Street SW,2018.0,-114.081772527305,51.037817343198896,3
330,17 Avenue and 84 Street SE,2018.0,-113.912059334102,51.03784420902411,2
331,17 Avenue and 85 Street SW,2018.0,-114.21095605424699,51.037996872755,1
332,17 Avenue and 9 Street SW,2018.0,-114.084255359888,51.03781662847071,2
333,17 Avenue and 9a Street SW,2018.0,-114.08566723936,51.0378177596387,1
334,17 Avenue and Anatapi Lane SW,2018.0,-114.22834937859301,51.0378506427734,1
335,17 Avenue and Centre Street SE,2018.0,-114.06355858877599,51.037832233606395,1
336,17 Avenue and College Lane SW,2018.0,-114.078296579381,51.0378119623805,1
337,17 Avenue and Costello Boulevard SW,2018.0,-114.170554033196,51.0374364093134,1
338,17 Avenue and Crowchild Trail SW,2018.0,-114.112959987034,51.0382141189432,2
339,17 Avenue and Gateway Drive SW,2018.0,-114.156576794641,51.03781277395821,1
340,17 Avenue and Glenwood Drive SW,2018.0,-114.14565567419399,51.0377816764888,1
